timestamp,policy_win,policy_loss,policy_draw,value_estimate
2026-06-21 16:57:27,-4.1002975,0.32518387,0.033162147,5.8455057
2026-06-21 16:57:27,-4.399573,0.50091225,0.166688,5.7281427
2026-06-21 16:57:27,-4.7102857,0.6714041,0.28495243,5.579883
2026-06-21 16:57:27,-5.0216317,0.83928573,0.39926985,5.4269753
2026-06-21 16:57:27,-5.3329782,1.0071676,0.5135875,5.274068
2026-06-21 16:57:27,-5.640736,1.1742653,0.6221907,5.1283617
2026-06-21 16:57:27,-5.9584823,1.0646603,0.6861539,5.1383514
2026-06-21 16:57:27,-6.2715106,1.2310568,0.7883601,4.9950542
2026-06-21 16:57:27,-6.578647,1.4091097,0.8812666,4.8334694
2026-06-21 16:57:27,-6.8970146,1.6183398,0.93786764,4.713421
2026-06-21 16:57:27,-7.227757,1.8277376,0.9857819,4.606198
2026-06-21 16:57:27,-7.570578,2.0372996,1.0252175,4.511494
2026-06-21 16:57:27,-7.9133983,2.2468615,1.0646532,4.41679
2026-06-21 16:57:27,-8.143326,1.8192238,1.2235594,4.542341
2026-06-21 16:57:27,-8.542593,2.3473854,1.2032595,4.337509
2026-06-21 16:59:55,-4.1002975,0.32518387,0.033162147,5.8455057
2026-06-21 16:59:55,-4.399573,0.50091225,0.166688,5.7281427
2026-06-21 16:59:55,-4.7102857,0.6714041,0.28495243,5.579883
2026-06-21 16:59:55,-5.0216317,0.83928573,0.39926985,5.4269753
2026-06-21 16:59:55,-5.3329782,1.0071676,0.5135875,5.274068
2026-06-21 16:59:55,-5.640736,1.1742653,0.6221907,5.1283617
2026-06-21 16:59:55,-5.9584823,1.0646603,0.6861539,5.1383514
2026-06-21 16:59:55,-6.2715106,1.2310568,0.7883601,4.9950542
2026-06-21 16:59:55,-6.578647,1.4091097,0.8812666,4.8334694
2026-06-21 16:59:55,-6.8970146,1.6183398,0.93786764,4.713421
2026-06-21 16:59:55,-7.227757,1.8277376,0.9857819,4.606198
2026-06-21 16:59:55,-7.570578,2.0372996,1.0252175,4.511494
2026-06-21 16:59:55,-7.9133983,2.2468615,1.0646532,4.41679
2026-06-21 16:59:55,-8.143326,1.8192238,1.2235594,4.542341
2026-06-21 16:59:55,-8.542593,2.3473854,1.2032595,4.337509
2026-06-21 17:06:31,-4.1002975,0.32518387,0.033162147,5.8455057
2026-06-21 17:06:31,-4.399573,0.50091225,0.166688,5.7281427
2026-06-21 17:06:31,-4.7102857,0.6714041,0.28495243,5.579883
2026-06-21 17:06:31,-5.0216317,0.83928573,0.39926985,5.4269753
2026-06-21 17:06:31,-5.3329782,1.0071676,0.5135875,5.274068
2026-06-21 17:06:31,-5.640736,1.1742653,0.6221907,5.1283617
2026-06-21 17:06:31,-5.9328704,0.7918562,0.6780393,5.283641
2026-06-21 17:06:31,-6.2715106,1.2310568,0.7883601,4.9950542
2026-06-21 17:06:31,-6.558929,1.1246494,0.8824525,4.9970465
2026-06-21 17:06:31,-6.872474,1.3001727,0.97520566,4.856618
2026-06-21 17:06:31,-7.190842,1.5094026,1.031806,4.7365694
2026-06-21 17:06:31,-7.5141306,1.7186999,1.0849519,4.6216216
2026-06-21 17:06:31,-7.856951,1.9282614,1.124388,4.5269175
2026-06-21 17:06:31,-8.096864,1.500759,1.2762842,4.662818
2026-06-21 17:06:31,-8.486147,2.0287857,1.2629948,4.4476366
2026-06-21 17:07:23,-4.1002975,0.32518387,0.033162147,5.8455057
2026-06-21 17:07:23,-4.399573,0.50091225,0.166688,5.7281427
2026-06-21 17:07:23,-4.7102857,0.6714041,0.28495243,5.579883
2026-06-21 17:07:23,-5.0216317,0.83928573,0.39926985,5.4269753
2026-06-21 17:07:23,-5.3329782,1.0071676,0.5135875,5.274068
2026-06-21 17:07:23,-5.640736,1.1742653,0.6221907,5.1283617
2026-06-21 17:07:23,-5.9328704,0.7918562,0.6780393,5.283641
2026-06-21 17:07:23,-6.2715106,1.2310568,0.7883601,4.9950542
2026-06-21 17:07:23,-6.558929,1.1246494,0.8824525,4.9970465
2026-06-21 17:07:23,-6.872474,1.3001727,0.97520566,4.856618
2026-06-21 17:07:23,-7.190842,1.5094026,1.031806,4.7365694
2026-06-21 17:07:23,-7.5141306,1.7186999,1.0849519,4.6216216
2026-06-21 17:07:23,-7.856951,1.9282614,1.124388,4.5269175
2026-06-21 17:07:23,-8.096864,1.500759,1.2762842,4.662818
2026-06-21 17:07:23,-8.486147,2.0287857,1.2629948,4.4476366
2026-06-21 17:08:15,-4.1002975,0.32518387,0.033162147,5.8455057
2026-06-21 17:08:15,-4.399573,0.50091225,0.166688,5.7281427
2026-06-21 17:08:15,-4.7102857,0.6714041,0.28495243,5.579883
2026-06-21 17:08:15,-5.0216317,0.83928573,0.39926985,5.4269753
2026-06-21 17:08:15,-5.3329782,1.0071676,0.5135875,5.274068
2026-06-21 17:08:15,-5.640736,1.1742653,0.6221907,5.1283617
2026-06-21 17:08:15,-5.9328704,0.7918562,0.6780393,5.283641
2026-06-21 17:08:15,-6.2715106,1.2310568,0.7883601,4.9950542
2026-06-21 17:08:15,-6.558929,1.1246494,0.8824525,4.9970465
2026-06-21 17:08:15,-6.872474,1.3001727,0.97520566,4.856618
2026-06-21 17:08:15,-7.190842,1.5094026,1.031806,4.7365694
2026-06-21 17:08:15,-7.5141306,1.7186999,1.0849519,4.6216216
2026-06-21 17:08:15,-7.856951,1.9282614,1.124388,4.5269175
2026-06-21 17:08:15,-8.096864,1.500759,1.2762842,4.662818
2026-06-21 17:08:15,-8.486147,2.0287857,1.2629948,4.4476366
2026-06-21 17:10:12,-4.0970025,0.32881194,0.033365518,5.7717147
2026-06-21 17:10:12,-4.4018197,0.5091788,0.1679776,5.646484
2026-06-21 17:10:12,-4.713421,0.6779581,0.28240708,5.488099
2026-06-21 17:10:12,-5.0250807,0.8464951,0.3964701,5.3292804
2026-06-21 17:10:12,-5.3367405,1.0150322,0.5105331,5.170462
2026-06-21 17:10:12,-5.644812,1.1827852,0.61888146,5.0188456
2026-06-21 17:10:12,-5.9570546,1.0747927,0.6883974,5.0196357
2026-06-21 17:10:12,-6.24735,1.5381424,0.81924343,4.677175
2026-06-21 17:10:12,-6.5745835,1.4244881,0.88095856,4.6949515
2026-06-21 17:10:12,-6.8927054,1.6346503,0.9375403,4.568273
2026-06-21 17:10:12,-7.2232013,1.8449804,0.98543596,4.4544206
2026-06-21 17:10:12,-7.5657754,2.0554743,1.024853,4.3530865
2026-06-21 17:10:12,-7.90835,2.2659683,1.0642703,4.251752
2026-06-21 17:10:12,-8.137785,1.8401943,1.2231381,4.3668127
2026-06-21 17:10:12,-8.536929,2.368822,1.2028301,4.1572814
2026-06-21 17:12:26,2.0464778,1.0356245,0.65607965,-0.67444044
2026-06-21 17:12:26,2.1579204,1.0722831,0.81596446,-0.7982169
2026-06-21 17:12:26,2.2039666,1.0514219,1.0097455,-0.8669427
2026-06-21 17:12:26,2.2301207,1.0272317,1.1973016,-0.92636365
2026-06-21 17:12:26,2.228445,1.0135292,1.358473,-0.9807188
2026-06-21 17:12:26,2.2267694,0.99982655,1.519644,-1.035074
2026-06-21 17:12:26,2.2250934,0.9861237,1.6808155,-1.0894291
2026-06-21 17:12:26,2.2234178,0.97242117,1.8419867,-1.1437843
2026-06-21 17:12:26,2.2217426,0.95871866,2.0031579,-1.1981394
2026-06-21 17:12:26,2.2280421,0.9550606,2.1587815,-1.2612414
2026-06-21 17:12:26,2.2585244,0.98185885,2.2975852,-1.3508649
2026-06-21 17:12:26,2.2890067,1.0086573,2.4363892,-1.4404883
2026-06-21 17:12:26,2.3194885,1.035455,2.5751925,-1.5301113
2026-06-21 17:12:26,2.3499708,1.0622531,2.7139966,-1.6197348
2026-06-21 17:12:26,2.3804526,1.0890516,2.8528004,-1.7093582
2026-06-21 17:28:04,0.018748656,-0.17624113,-0.07047051,0.17815167
2026-06-21 18:00:00,0.0065924674,-0.0043681264,-0.16921082,0.11222534
2026-06-21 19:00:07,-0.80855787,0.27390876,-0.05197297,0.31696665
2026-06-21 20:00:16,-0.0070779845,0.38387358,0.30822453,0.29789692
2026-06-21 21:00:26,0.1739845,0.13634352,0.021601453,0.252728
2026-06-21 22:00:35,-0.4794675,-0.001498796,0.28192824,0.19349268
2026-06-21 23:00:43,0.25368708,-0.22272663,0.25830156,0.18709522
